timestamp,syscall,direction,pid,ppid,uid,auid,comm,exe
09:59:19.974097258,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:22.013154948,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:22.013171317,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:22.016502973,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:22.016621398,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:22.018654058,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:22.018714752,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.851655703,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.851671773,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.853863110,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.853958917,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.856262137,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.856325925,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.857298656,clone,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.883797928,clone,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.883866097,clone,<,6690,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.885771954,execve,>,6690,3268,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:24.887523816,execve,<,6690,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:24.902050934,socket,<,6690,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:24.902700720,socket,<,6690,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:24.956818836,socket,<,6690,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:24.956820517,socket,<,6690,3268,1000,1000,tracker-extract,/usr/libexec/tracker-extract-3
09:59:27.726702017,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:27.726717249,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:27.730600596,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:27.730701133,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:27.732633097,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:27.732688987,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:30.602145413,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:30.602155808,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:30.632487509,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:30.632594086,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:30.662947583,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:30.663058999,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:33.453782224,unlink,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:33.453791696,unlink,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:33.459534086,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:33.459618433,rename,<,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
09:59:33.465786866,rename,>,3268,2394,1000,1000,tracker-miner-f,/usr/libexec/tracker-miner-fs-3
